"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Lead Business Systems Analyst / Product Manager","UPS","Chennai, Tamil Nadu","2025-07-23T09:53:58Z","IT Jobs","Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow-people with a unique combination of skill  passion. If you have the qualities and drive to lead yourself or teams, there are role…","https://www.adzuna.in/land/ad/5317567461?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=ADEF66DF73E51B6EE48E66928D251D5282AC7AB6","13.06041","80.24963"
"Sr Business Systems Analyst - SAP SuccessFactors","Dynatrace","Karnataka, India","2025-07-12T10:43:37Z","IT Jobs","Your role at Dynatrace Dynatrace is seeking a Business Systems Analyst who will work within the greater Business Systems team. This individual should be experienced with CRM technology (Salesforce) and have strong communication, documentation, and stakeholder management fundamentals. This role requires someone who can comfortably work with stakeholders by asking questions even if they may seem inconsequential to understand the root issue they need solved. We are looking for someone that is a se…","https://www.adzuna.in/land/ad/5299202589?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=786207EEF4ADF34814E1079EDFA9FF3BD7A76410","14.325172","76.227524"
"Hire Ahead- Senior Business System Analyst","UPS","Chennai, Tamil Nadu","2025-07-20T12:04:16Z","IT Jobs","Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow-people with a unique combination of skill  passion. If you have the qualities and drive to lead yourself or teams, there are role…","https://www.adzuna.in/land/ad/5313262909?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=DDF43C1AC7194BA71A22EBDDF18D941043F3B45C","13.06041","80.24963"
"Business Systems Analyst - Law and Compliance Technology","Amgen","Hyderabad, Telangana","2025-07-13T10:38:00Z","IT Jobs","Join Amgen's Mission of Serving Patients At Amgen, if you feel like you're part of something bigger, it's because you are. Our shared mission-to serve patients living with serious illnesses-drives all that we do. Since 1980, we've helped pioneer the world of biotech in our fight against the world's toughest diseases. With our focus on four therapeutic areas -Oncology, Inflammation, General Medicine, and Rare Disease- we reach millions of patients each year. As a member of the Amgen team, you'll…","https://www.adzuna.in/land/ad/5300567061?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=1E61693F3039FB587ADB3F3808D709BEDB3DF13F","17.40275","78.50806"
"Senior Business System Analyst - Scrum Master","UPS","Chennai, Tamil Nadu","2025-07-21T12:07:16Z","IT Jobs","Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow-people with a unique combination of skill  passion. If you have the qualities and drive to lead yourself or teams, there are role…","https://www.adzuna.in/land/ad/5314281629?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=AA047848A5380B01B40109D17E065CC7C63A9214","13.06041","80.24963"
"Systems Analyst 3-Support - Incident Commander","Oracle","Bangalore, Karnataka","2025-06-27T23:44:55Z","IT Jobs","Job Description Job description displayed in the job posting Responsible for the operation of production environments, including systems and databases, supporting critical business operations. Will perform administration and analysis for multiple production environments and recommend new and novel solutions to improve availability, performance, and supportability. This is an opportunity to bring a combination of deep technical knowledge with administration/analysis knowledge of Oracle's Cloud I…","https://www.adzuna.in/land/ad/5271876132?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=AE6428BCEC12524CF43A330E42C37E840AA77F06","12.9881567","77.6226000"
"Associate Business Systems analyst - Finance Systems & Data Insights","GE Appliances, a Haier company","Hyderabad, Telangana","2025-07-19T11:45:03Z","IT Jobs","At GE Appliances, a Haier company, we come together to make ""good things, for life."" As the fastest-growing appliance company in the U.S., we're powered by creators, thinkers and makers who believe that anything is possible and that there's always a better way. We believe in the power of our people and in giving them the freedom to explore, discover and build good things, together. The GE Appliances philosophy, backed by three simple commitments defines the way we work, invent, create, do busin…","https://www.adzuna.in/land/ad/5311787472?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=74CE74FC5FF34D0C46EE65C7ACFD794F952EA767","17.40275","78.50806"
"SQL & Unix Systems Analyst - Delivery & Customer Support","Oracle","India","2025-07-23T09:52:57Z","IT Jobs","Job Description As a member of the Support organization, your primary focus is to provide post-sales support and solutions to the Oracle customer base while advocating for customer needs. This role involves handling customer inquiries via phone, email, and Service Requests, as well as addressing technical queries related to troubleshooting within our Electronic Support Services You'll play a key role in maintaining customer relationships, and you'll also assist internal Oracle employees with va…","https://www.adzuna.in/land/ad/5317565725?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=F4E80AE33100DBB3791B3BB7978175B0B7C33A5F","22.3511148","78.6677428"
"Oracle Fusion System Analyst - Cost Accounting and PPM","onsemi","Bangalore, Karnataka","2025-07-16T10:39:40Z","IT Jobs","Job Summary: onsemi is seeking a self-driven and motivated professional to join the Global Finance IT Support team. As a System Analyst, you will support the continuous improvement of onsemi enterprise applications to ensure systems are effectively meeting business objectives. You will provide ongoing applications support including testing, training, accounts setup, configuration, and troubleshooting. You will also be responsible for collaborating with stakeholders to obtain business process re…","https://www.adzuna.in/land/ad/5305891768?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=82784A79FC30BE95B60E17F74B62C5839F4ECFD5","12.95703","77.59837"
"Associate IS Business Systems Analyst - Regulatory Structured Submissions","Amgen","Hyderabad, Telangana","2025-07-14T10:36:36Z","IT Jobs","Join Amgen's Mission of Serving Patients At Amgen, if you feel like you're part of something bigger, it's because you are. Our shared mission-to serve patients living with serious illnesses-drives all that we do. Since 1980, we've helped pioneer the world of biotech in our fight against the world's toughest diseases. With our focus on four therapeutic areas -Oncology, Inflammation, General Medicine, and Rare Disease- we reach millions of patients each year. As a member of the Amgen team, you'll…","https://www.adzuna.in/land/ad/5301676276?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=93CEAA6C83B698FF7142ECB2EDAC210CB0088800","17.40275","78.50806"
