"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Electrical Engineering Innovation Lead for one of the leading Datacenter Giant","Acme Services","Navi Mumbai, Maharashtra","2025-07-20T07:58:11Z","Engineering Jobs","Role: Electrical Engineering Innovation Lead Location: Navi Mumbai Budget: 50 to 60 LPA Experience: 6 to 10 years ROLE SUMMARY The Electrical Engineering Innovation Lead will drive Research & Development in software-defined power and stranded power optimization for data centers. Collaborate with engineering teams on cost-effective DC designs, support new tech integration, review technologies quarterly, and lead modeling and simulation using tools like MATLAB or COMSOL. DUTIES AND RESPONSIBILITI…","https://www.adzuna.in/details/5313128385?utm_medium=api&utm_source=c8890522","19.02","73.02"
"Principal Consultant - Power System","WSP USA","Bangalore, Karnataka","2025-07-02T01:43:12Z","Engineering Jobs","To contribute to the technical development and delivery of studies and analysis within the power systems team: - To deliver consulting work related to the various types of power systems studies and analysis, for example - Static studies such as load flow, fault level and reactive compensation; - Dynamic studies such as stability studies; - Harmonic analysis/ power quality/ filter design; - Transient overvoltage/ Insultation coordination; - Control interaction studies; - Earthing studies; and/or…","https://www.adzuna.in/land/ad/5278418172?se=OPjY4DJp8BGGFe6-FXbQtw&utm_medium=api&utm_source=c8890522&v=82E2420A1735FCC072A83E4ADF678BCFF455B145","12.9881567","77.6226000"
"Engineer - Embedded SW Quality Test","GE Vernova","Hyderabad, Telangana","2025-07-25T02:43:25Z","Engineering Jobs","Job Description Summary This position is part of the R&D Validation and Verification (V&V) team. The R&D team is responsible for designing, implementing, and testing embedded software for protection and control applications, primarily in the electrical transmission industry. Job Description Roles and Responsibilities Work on NPI and LCS release projects for GE Grid Solutions MICOM protection relays. Develop a deep knowledge of power industry protection functions. Learn and apply processes and t…","https://www.adzuna.in/details/5320683026?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Engineer - Embedded SW Quality Test","GE Vernova","Hyderabad, Telangana","2025-07-23T02:43:24Z","Engineering Jobs","Job Description Summary This position is part of the R&D Validation and Verification (V&V) team. The R&D team is responsible for designing, implementing, and testing embedded software for protection and control applications, primarily in the electrical transmission industry. Job Description Roles and Responsibilities Work on NPI and LCS release projects for GE Grid Solutions MICOM protection relays. Develop a deep knowledge of power industry protection functions. Learn and apply processes and t…","https://www.adzuna.in/details/5317145062?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Sr. Electrical Engineer","Schneider Electric","Bangalore, Karnataka","2025-07-18T00:29:24Z","Engineering Jobs","Application Engineer- Order Engineering Team This position is accountable for, but not limited to: • Layout and configuration of switchgear. • Design of control schemes, utilizing PLCs and/or relays, to accomplish automated transfer operations. • Creation of electrical one line, elevation drawing, schematics and wiring diagrams using AutoCAD. • Design of ground fault protective schemes, including those involving multiple sources. • Generation of bills of material, and modification of standard a…","https://www.adzuna.in/details/5308394386?utm_medium=api&utm_source=c8890522","12.95703","77.59837"
"Sr. Electrical Engineer","Schneider Electric","India","2025-07-01T20:35:26Z","Engineering Jobs","Application Engineer- Order Engineering Team This position is accountable for, but not limited to: · Layout and configuration of switchgear. · Design of control schemes, utilizing PLCs and/or relays, to accomplish automated transfer operations. · Creation of electrical one line, elevation drawing, schematics and wiring diagrams using AutoCAD. · Design of ground fault protective schemes, including those involving multiple sources. · Generation of bills of material, and modification of standard a…","https://www.adzuna.in/details/5277834452?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Consultant - Power System","WSP USA","Mumbai, Maharashtra","2025-07-02T01:43:12Z","Engineering Jobs","The Energy Advisory service line is composed of the Power Systems Consulting and Energy Strategy Consulting teams delivering services to clients, typically in the utilities sector.We are seeking a Power Systems Consultant to be part of our Power Systems Consulting team in the United Kingdom while working remotely from India. The position will include delivering a range of projects within the Power Systems team and supporting with bidding and winning work. As part of the role, you will be involv…","https://www.adzuna.in/land/ad/5278418198?se=OPjY4DJp8BGGFe6-FXbQtw&utm_medium=api&utm_source=c8890522&v=9E4F242C00186B31C70E5CEC0E87C66477C32731","19.00821","72.84415"
"Specialist-DERMS (Power & Controls Systems)","Eaton Corporation","Hadapsar, Pune","2025-06-28T23:44:17Z","Engineering Jobs","What you'll do: The Specialist would be responsible for defining system architecture as well as control design for Distributed Energy Resource Management System (DERMS) for microgrid products. This role entails defining system architecture, design & implement controls for energy management, maintaining power system models, test strategy, developing test scripts, MIL-HIL validation of the controls. The role also requires to lead the design & implementation efforts of the control team; would be r…","https://www.adzuna.in/land/ad/5273723631?se=OPjY4DJp8BGGFe6-FXbQtw&utm_medium=api&utm_source=c8890522&v=D5D3E7E935056A6DD4FBC1A0149E5A48B987B1C1","18.5219","73.95314"
"Lead Thermal Inverter Engineer","GE Vernova","Chennai, Tamil Nadu","2025-07-15T02:35:21Z","Engineering Jobs","Job Description Summary The Lead Engineer will be a self-driven engineer responsible for leading the Thermal design activities associated with the develop of new products and the execution of projects for LV/MV drives especially for the PV and BESS applications. This individual must have the ability to work with a high skilled team to design the new utility scale PV and BESS Inverter products portfolio and provide the full products package to the business. Job Description The Lead Mechanical En…","https://www.adzuna.in/details/5302579714?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Engineer - Projects/Tenders, High Voltage","questW","Chennai, Tamil Nadu","2025-07-07T09:11:53Z","Engineering Jobs","This role is a full time role with our global engineering client. Purpose - Support Lead Engineer in Tender/Project activities & Support the Commercial function in technical topics Take ownership of the technical scope assigned by Lead Engineer in tenders/Projects/RFIs Support Lead Engineer with calculations and documentation in Tenders/Projects Responsibilities - Ensure compliance of cable system with internal requirements, international standards and Client requirements Take ownership of assi…","https://www.adzuna.in/details/5289680817?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Service Engineer","Servilink Engineers","Vadodara, Gujarat","2025-07-23T02:40:04Z","Engineering Jobs","Experience: 0 - 1 Years Education: Diploma Electrical / ITI Electrical Location: Vadodara Role Description This is a full-time on-site role for a Service Engineer at Servilink Engineers. The Service Engineer will be responsible for troubleshooting, providing field service, communicating with clients, providing technical support, and conducting maintenance and repairs on various power distribution and control systems. Qualifications Troubleshooting and Maintenance & Repair skills Field Service a…","https://www.adzuna.in/details/5317139461?utm_medium=api&utm_source=c8890522","22.2891","73.1924"
