"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"PROCESS DELIVERY SPECIALIST-PROCURE TO PAY","IBM","Bangalore, Karnataka","2025-07-18T11:44:36Z","Accounting & Finance Jobs","https://www.adzuna.in/land/ad/5309607220?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=4F4968AD6ECD9B0BB61FD362123094F2AA28DD24","12.95703","77.59837"
"Procurement Professional","IBM","Bangalore, Karnataka","2025-07-13T10:38:22Z","Retail Jobs","https://www.adzuna.in/land/ad/5300568064?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=23B458929696B108FDD527AE808AD251D85833CB","12.95703","77.59837"
"Contract Specialist - Global Procurement","United Airlines","India","2025-07-18T11:46:12Z","Accounting & Finance Jobs","https://www.adzuna.in/land/ad/5309608377?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=4E7C06A522AE654B552254D2FC6BFF2508F612D5","22.3511148","78.6677428"
"Supplier Expeditor","Flowserve Corporation","New Delhi, Delhi","2025-02-12T22:32:37Z","Manufacturing Jobs","https://www.adzuna.in/land/ad/5047416423?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=D3AC99F93FC8580AA7860B932AABAFD90EF4D507","28.62623","77.21808"
"Procurement Specialist","Telamon HR Solutions","India","2025-06-06T20:49:34Z","Retail Jobs","https://www.adzuna.in/details/5236374894?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Procurement Specialist","NRG FOODS PVT LTD","Hyderabad, Telangana","2025-06-06T20:42:23Z","Retail Jobs","https://www.adzuna.in/details/5236359786?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Procurement Specialist","Boldfit","Bangalore, Karnataka","2025-07-14T09:36:08Z","Retail Jobs","https://www.adzuna.in/details/5301590972?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"Procurement Specialist","Command Alkon USA","Trombay, Mumbai","2025-05-05T02:05:11Z","Accounting & Finance Jobs","https://www.adzuna.in/details/5180741968?utm_medium=api&utm_source=c8890522","19.0695","72.99746"
"Procurement Specialist","Ababil Healthcare","Chennai, Tamil Nadu","2025-07-19T02:42:49Z","Retail Jobs","https://www.adzuna.in/details/5310707481?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Procurement Specialist","Enfusion Referral Hub","Mumbai, Maharashtra","2025-01-12T17:43:25Z","Accounting & Finance Jobs","https://www.adzuna.in/details/5007670404?utm_medium=api&utm_source=c8890522","19.00821","72.84415"
"Procurement Specialist","RENÉE Cosmetics","Ahmedabad, Gujarat","2025-07-14T09:36:38Z","Retail Jobs","https://www.adzuna.in/details/5301593838?utm_medium=api&utm_source=c8890522","23.042","72.59465"
"Procurement Specialist","LegalZoom","Bangalore, Karnataka","2025-07-08T21:21:30Z","Retail Jobs","https://www.adzuna.in/details/5292352757?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"Procurement Specialist","Weatherford","Vadodara, Gujarat","2025-07-14T02:34:24Z","Engineering Jobs","https://www.adzuna.in/details/5301290768?utm_medium=api&utm_source=c8890522","22.2891","73.1924"
"Procurement specialist","Schneider Electric","India","2025-07-10T02:41:20Z","Engineering Jobs","https://www.adzuna.in/details/5294736087?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Procurement specialist","Schneider Electric","India","2025-07-10T02:40:36Z","Engineering Jobs","https://www.adzuna.in/details/5294735030?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Procurement Specialist","TD Synnex","Chennai, Tamil Nadu","2025-06-11T03:07:31Z","Other/General Jobs","https://www.adzuna.in/details/5243343302?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Procurement Specialist","Bounteous","Chennai, Tamil Nadu","2025-03-28T01:41:33Z","IT Jobs","https://www.adzuna.in/details/5114557412?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Procurement Specialist","Critical Start","Baner, Pune","2025-07-03T02:56:58Z","Logistics & Warehouse Jobs","https://www.adzuna.in/details/5280528607?utm_medium=api&utm_source=c8890522","18.55034","73.80865"
"Procurement Specialist","TD Synnex","Chennai, Tamil Nadu","2025-06-17T03:03:39Z","Sales Jobs","https://www.adzuna.in/details/5253747797?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
