"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"Sr. Firmware Development Engineer","Emerson","Pune, Maharashtra","2025-04-29T02:02:09Z","Engineering Jobs","https://www.adzuna.in/details/5167354777?utm_medium=api&utm_source=c8890522","18.5062","73.84735"
"Lead Engineer – Firmware Development","Wabtec India Industrial","India","2025-07-18T02:35:11Z","IT Jobs","https://www.adzuna.in/details/5308985562?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Hardware Performance Modeling","IBM","Bangalore, Karnataka","2025-07-06T02:11:38Z","IT Jobs","https://www.adzuna.in/land/ad/5288140673?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=76F7DFD7E16B39D4E9E30F3F1EF458EB3F669E6B","12.95703","77.59837"
"Interim Engineering Intern_2026_SW","Qualcomm","Hyderabad, Telangana","2025-07-18T11:45:29Z","Engineering Jobs","https://www.adzuna.in/land/ad/5309607754?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=87F6745349A010B2C9696BABBB940B251AD88442","17.40275","78.50806"
"Lead Engineer - Embedded SW Development","GE Vernova","Telangana, India","2025-07-06T02:11:19Z","Engineering Jobs","https://www.adzuna.in/land/ad/5288140527?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=07C79FBFE7BDB55ED2F3BCF8AC837B671BA1E7AB","17.864111","77.027375"
"Program Director IBM Z Firmware and Performance","IBM","Bangalore, Karnataka","2025-07-16T10:39:00Z","IT Jobs","https://www.adzuna.in/land/ad/5305890925?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=C8EC5B946FEC5AE913C851A7B8C2881ECD513C06","12.95703","77.59837"
"Senior Engineer - Base Software","Eaton Corporation","Hadapsar, Pune","2025-04-30T23:07:14Z","Engineering Jobs","https://www.adzuna.in/land/ad/5170874921?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=1FD00CB149411E6FEC89DCBBCB97554C6640D8CE","18.5219","73.95314"
"Sr. Firmware Developer-Embedded Software","SKV Hiringmate private limited","Noida, Ghaziabad","2025-06-06T20:49:07Z","IT Jobs","https://www.adzuna.in/details/5236372498?utm_medium=api&utm_source=c8890522","28.56579","77.3225"
"Tech Lead - Firmware","Resideo","India","2025-07-03T01:48:11Z","Engineering Jobs","https://www.adzuna.in/land/ad/5280448707?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=58B96E177F6FF926C358DE665840CA1C786118DA","22.3511148","78.6677428"
"Senior Engineer - Embedded Linux","Eaton Corporation","Hadapsar, Pune","2025-07-11T04:04:26Z","IT Jobs","https://www.adzuna.in/land/ad/5296918605?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=84AAC610665869A568031CF8FED46109596A44DD","18.5219","73.95314"
